cluster	count	casing patterns
a	217017	
e	103485	
i	96595	
n	93505	
o	87440	
u	66992	
r	58178	
m	51486	
w	46714	
s	41883	
t	40200	
k	25990	
g	25284	
b	17511	
p	15089	
d	12582	
z	11031	
y	10439	
l	2921	
f	644	
h	457	
0	394	
1	197	
2	135	
7	120	
4	84	
5	53	
v	42	only_lower
3	38	
6	35	
8	21	
9	15	
⅓	13	
