cluster	count	casing patterns
a	386432	
n	248687	
i	141867	
o	96160	
e	95146	
s	83971	
y	79502	
k	78358	
d	77041	
t	69654	
g	66743	
m	62795	
p	42810	
l	41324	
b	27608	
w	27137	
j	4886	
r	4732	
u	4655	
c	909	
h	833	
f	485	
1	478	
2	250	
v	229	only_lower
z	219	
3	127	
4	106	
5	99	
0	82	
7	78	
9	70	
6	67	
8	65	
x	17	only_lower
q	4	only_lower
