cluster	count
a	22107
e	21772
i	21553
n	21142
k	20497
l	17298
p	16615
m	14815
u	10276
o	10207
t	8105
r	5940
s	5869
y	5580
w	2502
0	112
d	98
1	72
v	44
2	42
b	42
h	27
3	21
4	15
5	15
6	15
9	14
j	11
g	10
8	7
7	6
f	5
