cluster	count
á	63380
n	55720
a	39976
g	27613
u	24475
k	24123
i	23091
t	22127
m	17222
r	13652
e	13390
w	13057
y	9445
l	8985
h	8929
o	6869
s	6866
p	4455
d	3624
b	998
f	378
0	118
1	84
v	59
2	48
4	37
7	29
5	28
j	23
3	12
8	12
6	9
9	8
