cluster	count	casing patterns
a	177473	
e	94757	
n	67594	
k	61946	
ɔ	53714	
i	51465	
t	45752	
s	39246	
m	38518	
ɛ	35204	
g	34180	
o	33424	
u	26557	
ɗ	25688	
r	24426	
n̰	23133	
j	22877	
l	18769	
d	17662	
b	14378	
ŋ	13914	only_lower
ꞌ	13681	only_upper
y	13128	
ɓ	11731	
p	6843	
c	6143	
z	1246	
w	330	
1	89	
0	63	
2	42	
4	21	
3	14	
6	14	
5	11	
7	5	
9	5	
ƴ	5	only_lower
8	3	
