cluster	count
a	61910
n	26836
i	22005
o	19960
u	16524
e	16162
d	15976
r	15593
ǝ	14866
w	13579
y	13042
k	12497
m	12482
j	9250
l	9014
s	7927
t	5901
g	5577
c	4098
b	3944
f	1961
h	796
p	659
ɍ	594
1	7
2	6
3	6
4	5
5	3
7	3
8	2
6	1
9	1
