cluster	count	casing patterns
a	189917	
i	88980	
e	71633	
n	63558	
u	40569	
o	39533	
t	37816	
ʼ	36622	
v	28876	
g	23332	
d	23206	
l	20700	
b	18819	
m	18782	
w	18619	
y	16749	
q	16243	
s	10915	
f	6531	
k	6039	
h	3576	only_lower
0	147	
1	55	
4	32	
2	29	
3	19	
6	19	
5	13	
8	12	
9	11	
7	7	
