cluster	count	casing patterns
a	348660	
y	74614	
e	69413	
m	65545	
ə	46260	only_lower
d	45575	
w	42033	
r	40759	
l	39397	
k	37177	
g	34443	
n	32898	
s	29047	
h	28417	
t	27148	
ŋ	25381	
b	17981	
z	16800	
u	15119	
v	14819	
f	12927	
ɗ	12612	
c	10076	
i	8558	
p	7207	
j	6740	
ɓ	2657	
1	186	
2	82	
3	54	
4	36	
6	30	
5	28	
0	26	
8	15	
7	14	
9	12	
o	1	only_lower
