cluster	count
t	102842
i	97801
n	97071
a	92212
j	60444
e	55720
k	53060
l	49041
y	45875
u	42944
o	41878
x	41511
q	39035
b	23718
z	23320
m	20317
s	15848
w	15207
c	10254
h	9935
p	5329
r	3490
ú	2505
d	1195
ẍ	742
g	637
é	521
í	220
v	194
á	179
ó	136
1	106
f	102
2	45
0	35
3	32
4	31
6	23
8	14
5	13
9	12
7	10
ñ	3
