cluster	count	casing patterns
a	289399	
i	123953	
u	120912	
c	103222	
n	96044	
h	91064	
s	73544	
r	46756	
t	45942	
m	42647	
g	31137	
p	29317	
l	29025	
d	16389	
y	15990	
o	9771	
ñ	8589	
e	8353	
b	8293	
j	7470	
q	6646	
z	2489	
á	1590	only_lower
v	420	
f	359	
0	313	
2	246	
1	166	
3	117	
ü	94	only_lower
í	86	only_lower
4	73	
7	70	
ó	58	only_lower
5	48	
ú	37	only_lower
6	27	
é	23	only_lower
8	15	
x	14	only_lower
½	9	
9	6	
k	5	only_lower
