cluster	count
a	147072
i	87341
n	79462
u	49104
m	30844
ɛ	30556
s	28726
o	27551
t	27489
k	22971
b	21799
l	19909
e	16813
y	16803
ɔ	16444
h	16150
w	15944
d	15704
r	14206
f	12337
g	10631
ŋ	10142
c	8582
z	8036
p	7915
v	2351
j	1130
