cluster	count
a	170346
n	65966
û	63030
î	60955
r	59500
i	54697
t	50320
e	48170
g	38552
k	38543
b	34698
m	31026
w	28634
u	26165
o	24966
h	14479
y	12813
d	7688
s	4914
c	3900
j	2008
p	421
1	110
2	64
0	32
3	30
4	26
8	26
5	23
f	21
7	17
6	14
9	10
l	8
