cluster	count	casing patterns
a	197279	
i	133852	
l	120073	
e	116538	
u	76469	
r	68007	
n	67869	
m	66322	
g	59725	
é	50678	
o	47970	
á	43080	
k	32128	
s	31755	
h	29102	
c	29101	
b	27897	
í	25565	only_lower
w	25342	
p	24002	
t	23873	
j	23350	
ú	11944	only_lower
y	10540	
ó	9183	only_lower
6	21	
d	9	only_lower
f	5	only_lower
ñ	4	only_lower
0	3	
4	2	
v	2	only_lower
1	1	
