cluster	count
a	65007
k	36190
i	35957
n	33838
p	27875
l	27522
e	26302
t	24889
m	21304
u	18687
r	16999
o	16148
w	14902
g	12145
h	4797
y	4323
s	4312
j	842
d	141
0	96
1	41
2	21
4	20
b	14
5	12
f	10
7	8
8	6
3	4
9	4
6	1
