cluster	count	casing patterns
e	214380	
a	163225	
o	105319	
i	103662	
n	95743	
k	91594	
m	59894	
ŋ	56925	
r	38535	
w	37247	
s	34358	
t	30206	
l	28604	
u	27673	
y	27459	
p	24788	
g	20746	
d	17206	
b	12414	
q	7804	
z	3713	
h	561	
0	311	
1	198	
2	137	
4	91	
7	76	
5	64	
3	47	
6	32	
v	27	only_lower
9	15	
8	14	
f	2	only_lower
