cluster	count	casing patterns
a	546101	
i	270346	
e	242834	
u	225956	
o	223184	
b	184424	
n	179860	
h	148423	
m	135395	
l	114980	
g	107696	
y	101041	
s	85463	
r	82704	
w	80684	
t	66167	
ʼ	47345	
ŋ	46619	
d	37989	
j	21145	
f	16122	
k	15388	
p	5893	
z	3315	
v	1669	only_lower
c	1430	
1	270	
2	102	
3	88	
4	45	
6	40	
0	32	
5	29	
7	27	
8	26	
9	19	
