cluster	count
ǝ	91233
a	70171
i	66876
n	59404
e	58486
k	53005
o	50781
t	47785
s	47439
b	45371
u	43117
y	39739
l	37681
m	30245
f	25527
ɛ	23794
ɔ	21212
d	14465
w	11269
p	9461
á	3766
é	3092
í	2875
ó	2786
ú	2499
r	2296
ɔ́	1219
ń	795
h	731
ã	328
g	116
v	84
ɔ̃	79
ũ	52
z	33
1	32
2	16
0	15
4	13
6	10
3	7
5	6
9	6
ĩ	5
ɛ́	5
ḿ	4
à	3
8	2
ẽ	2
ɛ̀	1
ɛ̃	1
