cluster	count
a	204152
o	111428
m	82545
t	81028
e	77688
r	71722
n	69665
i	57078
s	51421
y	48137
u	42268
b	39040
k	38843
h	32107
w	24878
f	23398
l	11362
õ	10049
j	8089
ʼ	7487
d	2112
g	1634
p	1222
1	491
0	427
2	321
z	216
4	173
v	154
3	153
5	136
6	105
9	102
8	84
7	79
c	76
