cluster	count	casing patterns
a	174135	
i	93622	
u	89679	
n	76458	
k	64293	
a̱	56156	
e	35584	
m	31681	
s	30989	
t	28912	
o	28469	
y	25897	
l	22312	
ɗ	19274	
b	18048	
g	15281	
d	13925	
v	13789	
w	12238	
h	11932	
p	11337	
c	10605	
ꞌ	10138	only_upper
z	8038	
r	6941	
f	2345	
ɓ	1886	
j	792	
0	182	
1	35	
2	26	
4	20	
5	13	
6	8	
3	5	
7	3	
8	2	
