cluster	count
a	211611
i	147062
u	132996
n	132010
e	110342
k	103832
r	95393
h	93861
o	83531
s	73624
m	67436
p	48559
d	41285
y	34574
w	32073
t	31866
b	27876
g	25694
l	4677
v	604
j	530
f	491
0	399
1	207
2	137
7	108
4	70
5	57
3	42
6	23
9	17
8	16
