cluster	count
a	92864
i	90317
ɛ	67126
e	59639
l	48153
ɔ	44448
n	43714
k	43521
b	37926
u	34069
s	30767
m	26929
o	22996
y	22068
t	20782
g	18740
p	15785
d	13847
z	12257
w	10549
í	9977
ʋ	7064
r	6891
ŋ	5048
x	4459
f	3408
ɔ̀	1937
ã	1519
h	1514
á	1260
v	1071
ɔ́	989
ì	706
ú	547
é	507
ã́	429
ù	378
è	244
ɖ	206
ó	198
à	187
ɛ́	156
ɛ̀	110
1	61
ũ	58
ò	57
2	30
ĩ	26
3	21
ã̀	20
4	16
9	9
0	8
8	8
ɔ̃	7
5	6
7	5
ɛ̃	4
6	3
ũ̀	3
ƒ	3
ɩ	2
c	1
