cluster	count
ర్	39378
న్	26674
త	16807
ల్	13716
వ	13635
న	12713
అ	10910
గ	10155
బ	10147
తె	9367
మ	9031
య్	8697
సి	8077
తొ	7272
ట్	6655
స్	6510
క్	6425
కు	6277
త్	5725
గ్	5659
ని	5658
మ్	5650
తు	5633
కి	5549
క	5527
రి	5527
స	5453
ఇ	5377
ఆ	5078
కె	5065
లి	5006
ద్	4922
జె	4592
ర	4515
ఇం	4497
డ్	4448
తి	4385
వె	4319
రొ	4309
ది	4207
య	4160
కీ	4073
నె	4055
హ్	4029
ద	3890
ప	3805
లె	3719
మా	3710
యే	3676
సు	3449
వో	3356
వం	3268
మం	3255
వా	3143
సె	3091
బా	3057
దు	2894
రె	2886
టి	2872
వూ	2653
జ	2536
కా	2442
హ	2352
డ	2300
మి	2212
నా	2202
సా	2191
పి	2065
మీ	2065
దె	2019
వ్	2014
పె	1872
గి	1807
క్‌	1789
పా	1781
పొ	1777
ప్	1760
ర్‌	1677
వొ	1670
చి	1597
గు	1577
డి	1564
తం	1551
ఆం	1518
ఉం	1493
ట	1491
కొ	1489
దొ	1484
ము	1421
తా	1393
ల	1373
రు	1349
బో	1331
సం	1329
డె	1297
సీ	1291
బు	1267
డు	1239
ను	1204
సూ	1182
చొ	1158
చ	1133
దా	1081
వి	1076
హి	1076
పు	1050
గొ	1018
జి	996
సొ	980
మొ	973
నం	903
పూ	900
మె	883
నొ	877
జ్	829
యి	809
రం	803
నీ	792
రా	791
బ్	773
వే	751
మో	738
యు	737
యొ	733
చ్	714
గ్‌	691
హిం	646
ఉ	644
యె	643
కేం	634
చె	609
లా	609
బె	607
కీం	582
యూ	538
తీ	536
దం	533
లొ	515
లు	513
సొం	511
రో	504
బొ	495
చు	464
గె	463
వు	463
బూ	458
జా	414
నే	412
కో	406
సే	403
జు	395
టా	384
టె	383
పే	361
జీ	360
వీ	353
కే	345
స్‌	336
నేం	335
జో	316
టొ	316
న్‌	313
యో	304
సోం	283
ఈ	281
మేం	278
బే	274
డం	271
సో	265
మాం	263
సీం	255
దూ	252
పం	248
టిం	247
రూ	245
కం	241
లో	230
డొ	224
జే	223
హం	221
వాం	217
టు	200
గా	195
పో	195
త్‌	190
లం	187
టం	182
గం	174
హా	168
హే	168
హు	164
0	159
కూ	154
బం	154
ట్‌	147
దే	147
తే	144
తిం	138
సాం	135
తెం	133
మూ	129
తో	128
నిం	116
హె	116
యా	115
గో	113
అం	112
మ్‌	110
డుం	108
మూం	103
పీ	97
పాం	94
బి	94
కాం	92
చం	88
డిం	88
దుం	86
కోం	85
యం	80
విం	80
ఎ	79
యెం	75
చా	68
రాం	68
మిం	65
యొం	65
దాం	64
లేం	63
దో	62
రే	62
దీ	59
రెం	59
హో	59
లెం	58
చ్‌	57
లుం	57
తూ	55
తుం	54
పోం	54
టాం	53
ల్‌	53
చీ	50
యుం	49
రిం	48
1	47
దిం	44
చే	43
లూ	41
జొ	40
ఊ	39
2	38
ఒ	38
రుం	38
నూ	37
ద్‌	36
4	34
బీ	34
లే	34
నో	33
డెం	32
టొం	31
చొం	30
డే	30
వెం	30
గూం	29
జం	29
మీం	29
డా	28
రీ	28
హొ	27
టుం	26
సెం	26
కిం	25
వోం	24
య్‌	23
టీ	22
నుం	22
5	21
పిం	21
గెం	20
దూం	16
యిం	16
లిం	16
కుం	14
జ్‌	14
టెం	14
గుం	13
3	12
దెం	12
రొం	12
6	11
టే	11
9	10
కొం	10
చుం	10
జాం	10
పుం	10
హూ	10
దొం	9
నొం	9
బ్‌	9
వ్‌	9
7	8
8	8
గూ	8
గే	8
లాం	8
ఊం	7
టో	7
యేం	7
హుం	7
టూ	6
గాం	5
డూం	5
డ్‌	5
పెం	5
పొం	5
ప్‌	5
గిం	4
చిం	4
జిం	4
నాం	4
బేం	4
మే	4
రూం	4
వొం	4
హీ	4
డీ	3
మెం	3
హెం	3
కెం	2
గీ	2
గొం	2
చేం	2
డొం	2
డో	2
తొం	2
బిం	2
బెం	2
ముం	2
మొం	2
లొం	2
వ‌	2
సేం	2
గోం	1
గ‌	1
జుం	1
జొం	1
నోం	1
బొం	1
య‌	1
రోం	1
లీ	1
వేం	1
సిం	1
సుం	1
హేం	1
