cluster	count
a	50607
i	22718
n	16391
e	14800
u	10164
g	8964
d	8920
o	7860
y	7134
k	6924
v	6875
l	6111
w	5783
m	5593
t	5426
b	4393
f	2292
s	1475
p	126
0	98
1	40
2	25
3	24
5	23
4	21
7	20
9	19
6	14
8	13
