cluster	count	casing patterns
a	215277	
k	136108	
i	115905	
n	90003	
m	77003	
o	64579	
e	62596	
u	58890	
d	51815	
b	48755	
w	46936	
l	46539	
t	39499	
s	32341	
y	28878	
g	19797	
á	16600	only_lower
f	12417	
í	612	only_lower
0	244	
1	47	
4	31	
2	30	
ú	27	only_lower
5	20	
3	11	
6	11	
9	10	
7	4	
8	4	
