cluster	count	casing patterns
a	113497	
ö	65875	
n	58730	
h	55615	only_lower
k	50650	
ë	42596	only_lower
d	40521	
ɛ	40504	
b	36253	
u	34452	
o	32221	
y	30238	
w	28078	
g	27354	
꞊	25915	
ɔ	24648	only_lower
i	23840	
ü	19947	
l	18468	
p	18070	
m	17642	
s	17366	
z	15839	
t	11806	
e	11657	
f	1397	
v	1248	
r	290	only_lower
0	10	
4	6	
1	4	
6	4	
2	1	
