cluster	count
a	123864
i	87696
n	75941
u	47376
m	46480
ɛ	46116
b	37803
k	36058
r	33595
ɔ	33177
o	32091
e	31540
s	31175
y	26876
t	16000
w	14937
d	14520
f	11881
ŋ	9348
g	6715
á	6640
j	5662
l	5516
p	4306
h	3032
z	1983
c	1885
ó	364
v	347
ú	333
í	310
é	178
ɔ́	151
ɛ́	30
