cluster	count	casing patterns
a	258348	
u	181189	
n	126737	
e	114832	
i	113085	
t	89260	
s	70528	
m	52745	
l	52357	
y	44523	
k	43205	
j	42718	
d	38632	
h	32790	
b	31088	
r	25703	
c	23391	
p	22729	
ñ	19066	
v	13950	
g	11786	
w	10607	
o	10050	
f	3108	
ú	2361	only_lower
é	1950	
í	1199	only_lower
ó	624	
á	563	
0	494	
1	229	
2	176	
q	175	
z	169	
4	107	
5	83	
3	69	
7	39	
6	34	
9	32	
8	23	
x	22	only_lower
ü	5	only_lower
