cluster	count	casing patterns
i	125165	
a	102832	
r	70582	
ꞌ	67512	only_lower
e	64275	
n	63645	
k	43574	
u	43458	
j	42367	
o	39934	
c	36740	
h	34708	
t	34318	
q	25215	
s	22783	
l	22666	
x	21599	
m	18425	
y	17967	
b	16200	
p	16193	
d	16089	
w	13693	
z	8267	
g	4509	
ú	2273	only_lower
á	2263	only_lower
í	1200	only_lower
é	880	
f	813	
ó	556	only_lower
v	465	only_lower
0	217	
1	150	
2	106	
4	74	
3	60	
5	39	
7	29	
9	27	
6	24	
8	23	
ñ	4	only_lower
